﻿grade	subject	unit	question	answer	choice2	choice3	choice4	explanation	difficulty	tags
中学1年	数学	一次方程式	（道のり）を求める公式はどれですか。	速さ × 時間	速さ ÷ 時間	時間 ÷ 速さ	速さ + 時間	速さ、時間、道のりの関係は「はじき」の図で覚える基本公式です。[37, 38]	基本	計算
中学1年	数学	一次方程式	「13歳のみなさんの3倍が先生の年齢になるのは何年後か」現在、先生が53歳のとき、これを求める方程式は？	53 + x = 3(13 + x)	53 = 3(13 + x)	53 + x = 13 + 3x	3(53 + x) = 13 + x	x年後のそれぞれの年齢を式にして、「先生＝生徒の3倍」となる式を立てます。	標準	方程式
中学1年	数学	一次方程式	「1個 80円のみかんと 1個 120円のりんごを合わせて 10個買い、代金の合計が 920円」のときの方程式は？	80x + 120(10-x) = 920	80x + 120x = 920	x + y = 920	120x + 80(10-x) = 920	みかんを x個とすると、りんごは (10-x)個と表せます [3]。	標準	方程式
中学1年	数学	一次方程式	「1個120gの品物x個を200gの入れ物に入れると、重さは800gになった」このときのxの値を求めなさい。	5	4	6	10	120x + 200 = 800 という方程式を立てて解くと、120x = 600 より x = 5 となります。	基本	方程式
中学1年	数学	一次方程式	「1日乗り放題チケットが1200円、バス1回が180円、電車の往復が480円」のとき、バスに何回以上乗ればチケットがお得ですか。[4]	5回	4回	6回	3回	「180x + 480 > 1200」の方程式を立てて考えます。[4]	標準	文章題
中学1年	数学	一次方程式	「240枚の折り紙を兄と弟で、枚数の比が 5:3 になるように分ける」とき、兄の枚数を求めなさい。	150枚	90枚	160枚	120枚	兄の枚数をxとすると、x : (240-x) = 5 : 3。これを解くと 3x = 5(240-x) より x=150 です。	標準	文章題
中学1年	数学	一次方程式	「ある山を登るのに、分速40mで登るのと、分速60mで下るのでは、かかる時間が30分違う」この山のふもとから山頂までの道のりを求めなさい。	3600m	1200m	2400m	4800m	道のりをxとして、x/40 - x/60 = 30 という方程式を立てて解きます。	挑戦	文章題
中学1年	数学	一次方程式	「バス1回 180円、電車の往復 480円。1日乗り放題 1200円」のとき、バスに何回乗ると乗り放題と同額？	4回	5回	3回	6回	180x + 480 = 1200 を解くと x = 4 となります [21]。	標準	文章題
中学1年	数学	一次方程式	13歳のけいたさんと53歳の先生がいる。先生の年齢がけいたさんの「3倍」になるのは何年後か求めなさい。	7年後	3年後	10年後	5年後	(53+x) = 3(13+x) という方程式を立てて解くと、x=7 となります。	標準	文章題
中学1年	数学	一次方程式	1日乗り放題チケットが 1200円、バス1回が 180円、電車の往復が 480円のとき、バスに何回乗るとチケットと同額になりますか。	4回	5回	3回	6回	180x + 480 = 1200 という方程式を立てて解きます。	標準	文章題
中学1年	数学	一次方程式	1日乗り放題チケットが1200円、バス1回が180円、電車の往復が480円のとき、バスに何回以上乗ればチケットがお得ですか。	5回	4回	6回	3回	方程式 180x + 480 > 1200 を解くと x > 4 となり、5回からお得になります。	標準	文章題
中学1年	数学	一次方程式	1日乗り放題チケットが1200円、バス1回が180円、電車の往復が480円のとき、バスに何回以上乗ればチケットがお得になりますか。	5回	4回	6回	3回	方程式 180x + 480 = 1200 を解くと x = 4 となり、4回で同額、5回以上でお得になります。	標準	文章題
中学1年	数学	一次方程式	1日乗り放題チケットが1200円、電車の往復が480円、バスが1回180円のとき、バスに何回乗るとチケットと同額になりますか。	4回	5回	3回	6回	(180x + 480 = 1200 を解くと 180x = 720 より x = 4 となります [3, 4]。)	標準	文章題
中学1年	数学	一次方程式	3x = -6 を解きなさい。	-2	2	-3	3	両辺を3で割ると x = -2 となります。[1, 2]	基本	方程式
中学1年	数学	一次方程式	x+8=11 を解きなさい。	3	-3	19	-19	等式の性質を利用し、+8を右辺に「移項」して x=11-8 と計算します。	基本	方程式
中学1年	数学	一次方程式	バス1回が180円、電車の往復が480円のとき、1200円の1日乗り放題チケットと同じ金額になるのはバスに何回乗るときですか。	4回	5回	3回	6回	方程式 180x + 480 = 1200 を立てて解くと、x = 4 となります。	標準	文章題
中学1年	数学	一次方程式	バラ5本と820円のユリ1本を買い、3000円出しておつりが30円のとき、バラ1本の値段を求めなさい。	430円	400円	500円	310円	「5x + 820 = 3000 - 30 という方程式を解くと、x=430 となります。」	標準	文章題
中学1年	数学	一次方程式	現在、けいたさんは13歳、先生は53歳です。先生の年齢がけいたさんの年齢の3倍になるのは何年後ですか。	7年後	5年後	10年後	3年後	(53+x) = 3(13+x) という方程式を立てて解くと、x=7 となります。	標準	文章題
中学1年	数学	一次方程式	時速60kmでx時間走ったときの道のりyを式で表しなさい。	y = 60x	y = 60/x	y = x/60	y = 60+x	（道のり）＝（速さ）×（時間）の関係を用います [27]。	基本	方程式
中学1年	数学	一次方程式	比例式 (x + 3) : 4 = 20 : 16 を解き、xの値を求めなさい。	2	5	8	4	「外側の積＝内側の積」より 16(x+3) = 80。x+3=5 となり x=2 です。	標準	方程式
中学1年	数学	一次方程式	比例式 (x + 3) : 4 = 20 : 16 を満たす x の値を求めなさい。	2	5	8	4	「外側の積＝内側の積」より 16(x+3) = 80。x+3=5 となり x=2 です。	標準	方程式
中学1年	数学	一次方程式	比例式 2 : 3 = x : 6 のxの値を求めなさい。	4	9	1	5	比例式の性質「外側の積＝内側の積」より 3x = 12 となり、x=4 です [30]。	基本	計算
中学1年	数学	一次方程式	比例式 x : 15 = 2 : 3 のxの値を求めなさい。	10	5	22.5	1	外側の積＝内側の積より 3x = 30。よって x=10 となります。	基本	計算
中学1年	数学	一次方程式	比例式 x : 4 = 3 : 2 のxの値を求めなさい。	6	8	12	1.5	比例式の性質「外側の項の積＝内側の項の積」より 2x = 12 となり、x=6 です。[1, 10]	基本	方程式
中学1年	数学	一次方程式	比例式 x : 9 = 5 : 3 を満たす x の値を求めなさい。	15	27	1.6	45	「比例式の性質『外側の積＝内側の積』より、3x = 45 となり、x = 15 です。」	基本	計算
中学1年	数学	一次方程式	比例式「(x － 2) : 0.2 = (x + 3) : 0.4」を解きなさい。	7	5	8	10	外側の積＝内側の積より 0.4(x-2) = 0.2(x+3)。両辺を10倍して整理すると x=7 となります。	挑戦	計算
中学1年	数学	一次方程式	方程式 0.12x + 0.1 = 0.06x - 0.08 を解きなさい。	-3	3	-1	1	両辺を100倍して 12x + 10 = 6x - 8 とし、整数の方程式として解きます。	標準	方程式
中学1年	数学	一次方程式	方程式 0.1x - 0.5 = 0.3x + 0.7 を解きなさい。	-6	6	-1	1	両辺を10倍して整数の方程式 1x - 5 = 3x + 7 に直し、移項して解を求めます。	標準	方程式
中学1年	数学	一次方程式	方程式 1/2 x + 3 = 7 を解きなさい。	8	5	2	20	両辺を2倍して x + 6 = 14 とし、移項して x = 8 を求めます。	基本	方程式
中学1年	数学	一次方程式	方程式 3(x - 2) = x + 4 を解きなさい。	5	3	1	-5	分配法則でかっこをはずすと 3x-6=x+4。移項して 2x=10 より x=5 となります。	基本	方程式
中学1年	数学	一次方程式	方程式 3x + 1 = 10 を解きなさい。	3	-3	9	1/3	1を移項して 3x = 9 とし、両辺を3で割ると x = 3 となります。[4]	基本	方程式
中学1年	数学	一次方程式	方程式 3x + 1 = 10 を解きなさい。	3	-3	9	1/3	1を右辺に移項して3x=9とし、両辺を3で割ります [9]。	基本	方程式
中学1年	数学	一次方程式	方程式 4x + 7 = 23 を解きなさい。	4	-4	7.5	16	7を移項して 4x = 16 とし、両辺を4でわります。	基本	方程式
中学1年	数学	一次方程式	方程式 4x = 24 を解きなさい。	6	20	28	4	等式の性質を利用し、両辺をxの係数4で割ると x=6 となります。[34]	基本	方程式
中学1年	数学	一次方程式	方程式 5(x － 2) = 20 を解きなさい。	6	4	2	10	分配法則で 5x － 10 = 20 とし、移項して 5x = 30 より x = 6 を求めます。	基本	方程式
中学1年	数学	一次方程式	方程式 x + 4 = -6 を解きなさい。	-10	10	-2	2	等式の性質を利用し、+4を右辺に移項して x = -6 - 4 と計算します。[1, 2]	基本	方程式
中学1年	数学	一次方程式	方程式 x/3 - 4 = x/2 を解きなさい。	-24	24	12	-12	両辺に6をかけて 2x - 24 = 3x とし、移項して整理すると x = -24 となります。[20, 21]	標準	方程式
中学1年	数学	一次方程式	方程式「1/2 x - 1 = 1/3 x」を解きなさい。	6	-6	3	1	両辺に分母の最小公倍数6をかけて、3x - 6 = 2x とし、移項して解を求めます。	標準	方程式
中学1年	数学	一次方程式	「等式の両辺から同じ数をひいても、等式は成り立つ」ことを表した式を選びなさい。	A - C = B - C	A + C = B + C	AC = BC	A/C = B/C	等式の性質の1つで、方程式を解く際の「移項」の考え方の基礎となります。	基本	計算
中学1年	数学	一次方程式	方程式 3x - 2 = x + 6 を解きなさい。	x = 4	x = 2	x = -4	x = 8	xの項を左辺に、定数項を右辺に移項して整理すると 2x = 8 となります。	標準	方程式
中学1年	数学	一次方程式	「ある数 x に 6 を加えると、その和が 12 になる」という数量の関係を等式で表しなさい。	x + 6 = 12	x - 6 = 12	6x = 12	x/6 = 12	問題文の通り、xに6をたした（加えた）結果が12と等しいことを等号（＝）で結んで表します。	基本	方程式
中学1年	数学	一次方程式	方程式 3x + 1 = x + 7 を解きなさい。	x = 3	x = 4	x = 2	x = 8	xの項を左辺に、定数項を右辺に移項して整理すると 2x = 6 となります。	基本	方程式
中学1年	数学	一次方程式	「3x － 7 = 8」において，次に行うべき操作として正しいものを選びなさい。	両辺に 7 をたす	両辺から 7 をひく	両辺を 3 でわる	両辺に 3 をかける	左辺の －7 を消すために，等式の性質「等式の両辺に同じ数をたしても，等式は成り立つ」を利用します。	基本	方程式
中学1年	数学	一次方程式	「1回 180円のバスと片道 240円の電車を使い、1200円の1日乗り放題チケットと同じ金額になる」のは、バスに何回乗ったときですか。	4回	5回	3回	6回	180x + 240 * 2 = 1200 という方程式を立てて解くと、180x = 720 より x = 4 となります。	標準	文章題
中学1年	数学	一次方程式	「比例式 (x - 2) : 0.2 = (x + 3) : 0.4」を満たす x の値を求めなさい。	7	5	8	10	比例式の性質「外項の積＝内項の積」より 0.4(x - 2) = 0.2(x + 3) となり，これを解くと x = 7 です。	挑戦	計算
中学1年	数学	一次方程式	「3 × 3 のマス目に 1 から 9 までの自然数を入れ，縦・横・斜めの和をすべて等しくする」とき，中央のマスに入る数は何ですか。	5	4	6	1	全体の和が 45 なので 1 列の和は 15 です。方程式を立てて解くと中央は必ず全体の平均である 5 になります。	挑戦	数論
中学1年	数学	一次方程式	姉は 16 歳，妹は 6 歳です。姉の年齢が妹の年齢の 2 倍になるのは何年後ですか。	4年後	10年後	5年後	2年後	x 年後に 2 倍になるとすると，16+x=2(6+x) という方程式が成り立ちます。これを解くと x=4 となります。	挑戦	方程式
中学1年	数学	空間図形	「すべての面が正三角形で、1つの頂点に3つの面が集まっている正多面体」は何ですか。	正四面体	正八面体	正二十面体	正六面体	正多面体5種類のうち、最も面の少ない立体です。	基本	立体
中学1年	数学	空間図形	「すべての面が正三角形で、1つの頂点に5つの面が集まっている正多面体」は何ですか。	正二十面体	正四面体	正八面体	正十二面体	正二十面体は、20枚の正三角形の面からなる正多面体です。	標準	立体
中学1年	数学	空間図形	「正十二面体」の1つの面の形はどのような多角形ですか。	正五角形	正三角形	正方形	正六角形	正十二面体は、12枚の正五角形の面で構成された正多面体です。	基本	立体
中学1年	数学	空間図形	「正十二面体」の頂点の数はいくつありますか。	20個	12個	30個	15個	正十二面体は、12個の面（正五角形）、30本の辺、20個の頂点を持つ立体です。	標準	立体
中学1年	数学	空間図形	「正十二面体」の面の形はどのような多角形ですか。	正五角形	正三角形	正方形	正六角形	正多面体5種類のうち、正十二面体は正五角形12枚でできています [26]。	基本	立体
中学1年	数学	空間図形	「正二十面体」の1つの頂点に集まっている面の数はいくつですか。	5枚	3枚	4枚	6枚	正二十面体は、各頂点に5枚の正三角形が集まって構成されています。	挑戦	立体
中学1年	数学	空間図形	「正八面体」の頂点の数はいくつですか。	6個	8個	12個	10個	正八面体は、正三角形の面が8つ、辺が12本、頂点が6個の立体です。	標準	立体
中学1年	数学	空間図形	「正八面体」の面の形はどのような図形ですか。	正三角形	正方形	正五角形	正六角形	正八面体は、8つの正三角形の面で囲まれた立体です。	基本	立体
中学1年	数学	空間図形	「正六面体」の辺の数は全部で何本ありますか。	12本	6本	8本	4本	正六面体（立方体）は、12本の辺、8つの頂点、6つの面でできています。	基本	立体
中学1年	数学	空間図形	すべての面が合同な正五角形で、どの頂点にも3つの面が集まっている正多面体は何ですか。	正十二面体	正六面体	正八面体	正二十面体	「正十二面体は12枚の正五角形の面から構成されています。」	基本	図形
中学1年	数学	空間図形	円錐の展開図において、側面の「おうぎ形の弧の長さ」は、底面の何と等しいですか。	底面の円周	底面の直径	底面の半径	母線の長さ	展開図を組み立てるとき、側面の弧と底面の円周はぴったり重なります [5]。	標準	立体
中学1年	数学	空間図形	円錐の展開図において、側面の「おうぎ形の弧の長さ」は、底面の何と等しいですか。	底面の円周	底面の直径	底面の半径	母線の長さ	展開図を組み立てるとき、側面の弧と底面の円周はぴったり重なります。	標準	立体
中学1年	数学	空間図形	円錐の展開図において、側面のおうぎ形の弧の長さは、底面の何と等しいですか。[8, 9]	底面の円周	底面の直径	底面の半径	母線の長さ	「展開図を組み立てるとき、側面の弧と底面の円周は重なります。」[8, 9]	標準	立体
中学1年	数学	空間図形	円錐の展開図を組み立てるとき、側面の「おうぎ形の弧の長さ」は底面の何と重なりますか。	底面の円周	底面の直径	底面の半径	母線の長さ	展開図が立体になるとき、側面の弧は底面の円を一周するように重なります。	標準	立体
中学1年	数学	空間図形	空間内の2直線が、交わらず平行でもない位置関係にあることを何といいますか。	ねじれの位置	垂直	一致	対頂角	同じ平面上にない2直線の特殊な位置関係を指します。[3, 21]	基本	立体図形
中学1年	数学	空間図形	三角柱の面の数は全部でいくつか答えなさい。	5	3	6	4	底面が2つ、側面が3つの合計5つの面でできています。[1, 13]	基本	立体図形
中学1年	数学	空間図形	正四面体の「辺の数」はいくつですか。	6本	4本	8本	12本	正四面体は4つの正三角形で構成され、頂点数は4、辺数は6、面数は4です。	基本	立体
中学1年	数学	空間図形	正十二面体の辺の数は、正五角形の辺の数(5本)と面の数(12枚)からどのように計算されますか。	5 * 12 / 2 = 30本	5 * 12 = 60本	5 + 12 = 17本	30 / 2 = 15本	各辺が2つの面に共有されているため、全ての面の辺の合計を2で割って求めます。	標準	立体
中学1年	数学	空間図形	正多面体のうち、1つの頂点に集まる面の数が「4つ」であるものはどれですか。	正八面体	正四面体	正六面体	正二十面体	正八面体は、各頂点に4つの正三角形が集まって構成されています。	標準	立体
中学1年	数学	空間図形	正多面体のうち、1つの頂点に集まる面の数が「5つ」であるものはどれですか。	正二十面体	正十二面体	正八面体	正四面体	正二十面体は、各頂点に5つの正三角形が集まって構成されています。	標準	立体
中学1年	数学	空間図形	正多面体のうち、面の形が「正三角形」でないものはどれですか。	正六面体	正四面体	正八面体	正二十面体	正六面体（立方体）の面の形は正方形です。他の4つは正三角形または正五角形です。	基本	立体
中学1年	数学	空間図形	底面の直径が 3 cm、高さが 5 cmの円柱の側面を広げた展開図（長方形）の横の長さは？	3π cm	15π cm	6π cm	5 cm	円柱の側面の展開図の横の長さは、底面の円周の長さに等しくなります [7]。	標準	立体
中学1年	数学	空間図形	底面の半径が r、高さが h の円柱の体積を表す式を選びなさい。	πr^2h	2πrh	1/3πr^2h	4/3πr^3	（底面積）×（高さ）で求めます。	基本	立体
中学1年	数学	空間図形	投影図において「真上から見た図」のことを何といいますか。	平面図形	立面図	側面図	展開図	立体を真上から見て描いた図を平面図、真前から見た図を立面図といいます。	基本	立体
中学1年	数学	空間図形	投影図において「真前から見た図」を何といいますか。	立面図	平面図	側面図	展開図	正面から見た図を立面図、真上から見た図を平面図といいます。	基本	立体
中学1年	数学	空間図形	立方体の辺の数は全部でいくつですか。	12	6	8	4	立方体は6個の面、12個の辺、8個の頂点を持っています。[24]	基本	立体図形
中学1年	数学	空間図形	立方体の面の数はいくつですか。	6	12	8	4	立方体（正六面体）は、その名の通り6つの正方形の面で構成されています。[1, 13]	基本	立体図形
中学1年	数学	空間図形	立方体の面の数はいくつですか。	6	12	8	4	立方体は6つの正方形の面で構成されています [18]。	基本	立体
中学1年	数学	空間図形	立方体を「3つの頂点 B	D	E を通る平面」で切ったとき、切り口の図形は何になりますか。	正三角形	長方形	台形	基本	立体図形
中学1年	数学	空間図形	「すべての面が正三角形で、1つの頂点に4つの面が集まっている正多面体」は何ですか。	正八面体	正四面体	正二十面体	正六面体	正八面体は8つの正三角形の面からなり、各頂点に4つの面が集まる立体です。	標準	立体
中学1年	数学	空間図形	「底面の半径が 3 cm、高さが 6 cmの円錐」の体積を求めなさい。ただし、円周率は π とします。	18π cm^3	54π cm^3	9π cm^3	27π cm^3	錐体の体積は 1/3 × 底面積 × 高さ です。1/3 × (π × 3^2) × 6 = 18π となります。	標準	立体
中学1年	数学	空間図形	円柱の底面の半径を r、高さを h とするとき、その体積 V を表す公式を選びなさい。	V = πr^2h	V = 2πrh	V = 1/3πr^2h	V = 4/3πr^3	円柱の体積は（底面積）×（高さ）で求められます。	基本	立体
中学1年	数学	空間図形	「立方体」の面の数は全部でいくつですか。	6	12	8	4	**立方体（正六面体）**は，その名の通り6つの正方形の面で構成されています。	基本	立体
中学1年	数学	空間図形	投影図において、立体を「真上から見た図」のことを何といいますか。	平面図	立面図	側面図	展開図	正面から見た図を立面図、真上から見た図を平面図と呼び、これらをあわせて投影図といいます。	基本	立体
中学1年	数学	空間図形	「1辺が 6 cmの立方体を，3つの頂点 B，D，E を通る平面」で切ったとき，その切り口の図形は何になりますか。	正三角形	二等辺三角形	長方形	正方形	切り口の各辺はすべて立方体の面の対角線になり，長さが等しくなるため正三角形となります。	挑戦	立体
中学1年	数学	空間図形	「1 辺が 6 cm の立方体のすべての辺の中点に印をつけ，各頂点から最も近い 3 つの中点を通る平面で角を切り落とす」とき，残った立体の面の数はいくつになりますか。	14面	12面	8面	20面	もとの 6 面が正方形から正八角形になり，新たに 8 つの正三角形の切り口ができるため，6 + 8 = 14 面となります。	挑戦	立体
中学1年	数学	空間図形	1 辺が 6 cm の立方体のすべての辺の中点に印をつけ，各頂点から最も近い 3 つの中点を通る平面で角を切り落とすとき，残った立体の面の数はいくつになりますか。	14面	12面	8面	20面	もとの立方体の 6 つの面がそれぞれ八角形になり，切り落とした 8 つの頂点部分に新しく正三角形の面ができるため，6+8=14 面となります。	挑戦	立体
中学1年	数学	資料の整理	「データの最大値と最小値の差」を何といいますか。	範囲（レンジ）	中央値	最頻値	偏差	データの散らばり具合を測る最も基本的な指標です [8]。	基本	統計
中学1年	数学	資料の整理	ある商店で月曜の客数を基準（0）とし、火曜が-3、水曜が-8、木曜が+2、金曜が+14のとき、5日間の平均は基準より何人多いですか。	1人多い	3人多い	1人少ない	基準と同じ	(0-3-8+2+14)÷5=1 となり、基準より1人多いことがわかります。	標準	統計
中学1年	数学	資料の整理	データの値の最大値から最小値をひいた値を何といいますか。	範囲（レンジ）	中央値	最頻値	階級幅	データの散らばりの度合いを最も簡単に表す数値です。	基本	統計
中学1年	数学	資料の整理	度数の合計に対する、ある階級の度数の割合を何といいますか。	相対度数	累積度数	平均値	中央値	（その階級の度数）÷（度数の合計）で求められる値です。	基本	統計
中学1年	数学	資料の整理	度数分布表において、各階級の真ん中の値を何といいますか。	階級値	中央値	相対度数	最頻値	平均値を計算する際などにその階級を代表する値として使います。	基本	統計
中学1年	数学	資料の整理	度数分布表において、各階級の相対度数をすべて合計した値は必ずいくつになりますか。	1	0	100	階級の数による	相対度数は全体に対する割合であるため、その総和は常に1になります。	基本	統計
中学1年	数学	資料の整理	度数分布表において、度数がもっとも多い階級の階級値を何といいますか。	最頻値（モード）	中央値（メジアン）	平均値	相対度数	「データが最も集中している場所を代表する値のことです。」	基本	統計
中学1年	数学	資料の整理	度数分布表において「各階級の真ん中の値」を何といいますか。	階級値	中央値	相対度数	平均値	階級を代表する値として、平均値の算出などにも使われます [6]。	基本	統計
中学1年	数学	資料の整理	度数分布表において「各階級の相対度数を最初の階級から順に足し合わせた値」を何といいますか。	累積相対度数	累積度数	階級値	平均値	ある階級までの割合の合計を示すもので、全体に対する分布の蓄積を把握するのに使います。	基本	統計
中学1年	数学	資料の整理	度数分布表において「各階級の相対度数を順に足し合わせた値」を何といいますか。	累積相対度数	累積度数	階級値	平均値	最初の階級からその階級までの割合の合計を累積相対度数と呼びます。	基本	統計
中学1年	数学	資料の整理	度数分布表において「最初の階級からある階級までの相対度数の合計」を何といいますか。	累積相対度数	累積度数	階級値	平均値	各階級の相対度数を順に足し合わせた値を累積相対度数と呼びます。	基本	統計
中学1年	数学	資料の整理	度数分布表において「最初の階級からある階級までの度数を合計したもの」を何といいますか。	累積度数	相対度数	階級値	中央値	ある階級までのデータの積み重ねを累積度数と呼びます。	基本	統計
中学1年	数学	資料の整理	度数分布表において「度数がもっとも多い階級の階級値」を何といいますか。	最頻値（モード）	中央値	平均値	相対度数	データが最も集中している場所を代表値として用いる際の名称です。	基本	統計
中学1年	数学	資料の整理	度数分布表において「度数がもっとも多い階級の階級値」を何といいますか。	最頻値（モード）	中央値	平均値	相対度数	データが最も多く集まっている階級を代表する値です。	基本	統計
中学1年	数学	資料の整理	度数分布表において「度数がもっとも多い階級の階級値」を何といいますか。	最頻値（モード）	中央値	平均値	相対度数	データが最も集中している階級を代表する値のことです。	基本	統計
中学1年	数学	資料の整理	度数分布表において「度数がもっとも多い階級の階級値」を何といいますか。[10, 11]	最頻値（モード）	中央値	平均値	相対度数	「データが最も集中している階級を代表する値のことです。」[10, 11]	基本	統計
中学1年	数学	資料の整理	度数分布表において、各階級の真ん中の値を何といいますか。	階級値	中央値	最頻値	平均値	階級を代表する値として、（階級の上端の値 + 下端の値）÷ 2 で計算される値のことです。	基本	用語
中学1年	数学	資料の整理	度数分布表において、「各階級の幅の真ん中の値」を何といいますか。	階級値	中央値	最頻値	相対度数	平均値を算出する際などに、その階級を代表する値として用いられます。	基本	用語
中学1年	数学	資料の整理	度数分布表において，「度数がもっとも多い階級の階級値」を何といいますか。	最頻値（モード）	中央値	平均値	相対度数	データが最も集中している階級を代表する値のことです。	基本	統計
中学1年	数学	資料の整理	データの最大値から最小値をひいた値を何といいますか。	範囲（レンジ）	中央値	最頻値	平均値	データの散らばりの度合いを調べる最も簡単な指標です。	基本	統計
中学1年	数学	資料の整理	ある階級の度数の、度数の合計に対する割合を何といいますか。	相対度数	累積度数	平均値	中央値	（その階級の度数）÷（度数の合計）で求められる値です。[22, 26]	基本	統計
中学1年	数学	資料の整理	データの個数が20個のとき、値を小さい順に並べて10番目と11番目の値の平均で表されるものはどれですか。	中央値（メジアン）	平均値	最頻値	相対度数	データの個数が偶数の場合、中央の2つの値の平均を中央値とします。	基本	統計
中学1年	数学	資料の整理	データの最大値から最小値を引いた値を何といいますか。	範囲（レンジ）	相対度数	中央値	最頻値	データの散らばりの度合いを最も簡単に表す値です [21]。	基本	統計
中学1年	数学	資料の整理	測定値 130cm を、有効数字が1、3、0の3個であると明確に示す書き方を選びなさい。	1.30 × 10^2 cm	130 cm	1.3 × 10^2 cm	0.13 × 10^3 cm	（整数部分が1桁の数）×（10の累乗）の形で表します。	標準	近似値
中学1年	数学	資料の整理	度数分布表で、各階級の幅の真ん中の値を何といいますか。	階級値	中央値	最頻値	相対度数	平均値を算出する際などに用いられる、その階級を代表する値です。	基本	統計
中学1年	数学	正負の数	(-2) × (-3) × (-4) を計算しなさい。	-24	24	-9	9	負の数が奇数個（3個）あるため、積の符号はマイナスになります。	基本	計算
中学1年	数学	正負の数	(-3) × (-6) を計算しなさい。	18	-18	9	-9	負の数どうしの積は正の数になります [24]。	基本	計算
中学1年	数学	正負の数	(-4) × (-2) を計算しなさい。	8	-8	-6	6	負の数どうしの積は正の数になります。[1, 17]	基本	計算
中学1年	数学	正負の数	(-5) + (-8) を計算しなさい。	-13	13	-3	3	同符号の2つの数の和は、絶対値の和に共通の符号をつけます。[7, 8]	基本	計算
